GEONAME,Distance
"Congressional District 7 (118th Congress), New Jersey",118.69814657356702
"Congressional District 8 (118th Congress), Texas",118.71288893797505
"Congressional District 1 (118th Congress), South Carolina",118.71920653373657
"Congressional District 6 (118th Congress), Georgia",118.76901952950524
"Congressional District 37 (118th Congress), Texas",118.8391770419166
"Congressional District 24 (118th Congress), Texas",118.85272399065997
"Congressional District 1 (118th Congress), Ohio",118.90084103991863
"Congressional District 22 (118th Congress), Texas",118.91391844523498
"Congressional District 31 (118th Congress), Texas",118.92800343064707
"Congressional District 6 (118th Congress), Pennsylvania",118.9702063543642
"Congressional District 26 (118th Congress), New York",118.9815111687526
"Congressional District 4 (118th Congress), Louisiana",118.98890704599314
"Congressional District 8 (118th Congress), Massachusetts",119.00386548343712
"Congressional District 1 (118th Congress), Florida",119.06481428196997
"Congressional District 4 (118th Congress), Oklahoma",119.15792042495538
"Congressional District 7 (118th Congress), Georgia",119.19865771056315
"Congressional District 1 (118th Congress), Virginia",119.22793296874688
"Congressional District 4 (118th Congress), Wisconsin",119.25242135906507
"Congressional District 12 (118th Congress), Georgia",119.28419845059109
"Congressional District 2 (118th Congress), Nebraska",119.44325012322797
"Congressional District 2 (118th Congress), Rhode Island",119.46430429211898
"Congressional District 2 (118th Congress), Alabama",119.49841003126359
"Congressional District 13 (118th Congress), Illinois",119.52556211957341
"Congressional District 5 (118th Congress), Alabama",119.5362706461934
"Congressional District 8 (118th Congress), Pennsylvania",119.70025062630404
"Congressional District 1 (118th Congress), Colorado",119.70455296270062
"Congressional District 17 (118th Congress), Illinois",119.78000667891115
"Congressional District 7 (118th Congress), South Carolina",119.8045491623753
"Congressional District 6 (118th Congress), Texas",119.86671764922905
"Congressional District 17 (118th Congress), Texas",120.02612215680385
"Congressional District 10 (118th Congress), Pennsylvania",120.0421176087793
"Congressional District 4 (118th Congress), Minnesota",120.08130578903612
"Congressional District 1 (118th Congress), New York",120.08238838397577
"Congressional District 5 (118th Congress), Virginia",120.08530301414906
"Congressional District 3 (118th Congress), Mississippi",120.12776531676596
"Congressional District 3 (118th Congress), Oklahoma",120.15981025284619
"Congressional District 5 (118th Congress), Louisiana",120.19126424162448
"Congressional District 10 (118th Congress), Illinois",120.27335532028697
"Congressional District 3 (118th Congress), New York",120.41598731065571
"Congressional District 3 (118th Congress), Michigan",120.42466524761446
"Congressional District 2 (118th Congress), California",120.4430155716802
"Congressional District 3 (118th Congress), South Carolina",120.52680199855963
"Congressional District 14 (118th Congress), Illinois",120.61463426964407
"Congressional District 4 (118th Congress), Arizona",120.71416652572307
"Congressional District 12 (118th Congress), New York",120.71553338323946
"Congressional District 6 (118th Congress), Alabama",120.77868189378455
"Congressional District 11 (118th Congress), Michigan",120.82408700255095
"Congressional District 1 (118th Congress), Maryland",120.82532847048255
"Congressional District 36 (118th Congress), California",120.92286797789738
"Congressional District 8 (118th Congress), Florida",121.0173954437956
"Congressional District 2 (118th Congress), Massachusetts",121.02474953496082
"Congressional District 2 (118th Congress), Kansas",121.1506087479547
"Congressional District 10 (118th Congress), Ohio",121.2181504561095
"Congressional District 4 (118th Congress), Virginia",121.31360187546983
"Congressional District 5 (118th Congress), Maryland",121.3254713570073
"Delegate District (at Large) (118th Congress), District of Columbia",121.37578012107687
"Congressional District 3 (118th Congress), Colorado",121.42343266437496
"Congressional District 3 (118th Congress), Minnesota",121.51925773308525
"Congressional District 10 (118th Congress), California",121.57890442013367
"Congressional District 50 (118th Congress), California",121.5943666458278
"Congressional District 8 (118th Congress), New Jersey",121.70262938819359
"Congressional District 13 (118th Congress), Texas",121.77068612765554
"Congressional District 11 (118th Congress), Illinois",121.8031198286809
"Congressional District 1 (118th Congress), New Mexico",121.93682790691253
"Congressional District 2 (118th Congress), Texas",121.9389601398995
"Congressional District 7 (118th Congress), Texas",122.06993896942849
"Congressional District 8 (118th Congress), Arizona",122.09860769066943
"Congressional District 1 (118th Congress), Oregon",122.11191588047417
"Congressional District 36 (118th Congress), Texas",122.16157333629916
"Congressional District 5 (118th Congress), North Carolina",122.18310030442017
"Congressional District 1 (118th Congress), Massachusetts",122.18706969233692
"Congressional District 1 (118th Congress), North Carolina",122.31197815422657
"Congressional District 4 (118th Congress), Kansas",122.54178879059992
"Congressional District 3 (118th Congress), Virginia",122.55676235932475
"Congressional District 6 (118th Congress), Michigan",122.58360412387947
"Congressional District 15 (118th Congress), Ohio",122.69767723962829
"Congressional District 5 (118th Congress), Texas",122.716747023379
"Congressional District 5 (118th Congress), Arizona",122.75426672828934
"Congressional District 8 (118th Congress), Illinois",122.88380690717553
"Congressional District 8 (118th Congress), Tennessee",122.91537739436835
"Congressional District 8 (118th Congress), Michigan",122.92802772354237
"Congressional District 6 (118th Congress), Florida",123.0975629328217
"Congressional District 7 (118th Congress), Washington",123.17804187435355
"Congressional District 1 (118th Congress), Arizona",123.20904999227938
"Congressional District 9 (118th Congress), Ohio",123.23303128625864
"Congressional District 20 (118th Congress), New York",123.35384063741185
"Congressional District 3 (118th Congress), California",123.39890599190902
"Congressional District 19 (118th Congress), Florida",123.41819152782948
"Congressional District 5 (118th Congress), Illinois",123.44468396816445
"Congressional District 6 (118th Congress), Illinois",123.47485573994408
"Congressional District 8 (118th Congress), Ohio",123.60987015606804
"Congressional District 12 (118th Congress), Pennsylvania",123.63102361462514
"Congressional District 4 (118th Congress), Tennessee",123.63882885242808
"Congressional District 8 (118th Congress), Washington",123.70796255698338
"Congressional District 10 (118th Congress), North Carolina",123.72295664103731
"Congressional District 10 (118th Congress), Michigan",123.73362517925352
"Congressional District 4 (118th Congress), Pennsylvania",123.96160695957438
"Congressional District 2 (118th Congress), Arizona",123.97689300833441
"Congressional District 5 (118th Congress), California",123.98632989164572
"Congressional District 1 (118th Congress), Washington",124.1167192605412
"Congressional District 4 (118th Congress), Michigan",124.25007042251525
"Congressional District 48 (118th Congress), California",124.37443467208203
"Congressional District 3 (118th Congress), Arkansas",124.42584136745872
"Congressional District 9 (118th Congress), New York",124.47465605495762
"Congressional District 40 (118th Congress), California",124.47827119622123
"Congressional District 6 (118th Congress), Virginia",124.62034344359671
"Congressional District 6 (118th Congress), Arizona",124.62238964166912
"Congressional District 2 (118th Congress), Minnesota",124.64569788003114
"Congressional District 13 (118th Congress), Ohio",124.7099033757945
"Congressional District 13 (118th Congress), Florida",124.74978957898085
"Congressional District 22 (118th Congress), New York",124.8270002843936
"Congressional District 19 (118th Congress), California",124.89123267867924
"Congressional District 11 (118th Congress), Ohio",124.90948722975368
"Congressional District 2 (118th Congress), Indiana",124.96111395150093
"Congressional District 12 (118th Congress), Florida",125.03779428636767
"Congressional District 3 (118th Congress), Kansas",125.24987025941384
"Congressional District 3 (118th Congress), Tennessee",125.39573357973548
"Congressional District 47 (118th Congress), California",125.39641143190661
"Congressional District 32 (118th Congress), Texas",125.42507723736908
"Congressional District 9 (118th Congress), Arizona",125.43013991860171
"Congressional District 1 (118th Congress), Wisconsin",125.50908333662548
"Congressional District 13 (118th Congress), Michigan",125.586504051988
"Congressional District 49 (118th Congress), California",125.59044549646283
"Congressional District 1 (118th Congress), Kansas",125.96209747380361
"Congressional District 2 (118th Congress), Connecticut",126.11423393098814
"Congressional District 4 (118th Congress), Colorado",126.26891937448423
"Congressional District 1 (118th Congress), Nebraska",126.40051423946028
"Congressional District 7 (118th Congress), Colorado",126.42887328454684
"Congressional District 12 (118th Congress), Michigan",126.43543807018663
"Congressional District 8 (118th Congress), New York",126.61816615320251
"Congressional District 4 (118th Congress), Massachusetts",126.63364481842888
"Congressional District 3 (118th Congress), New Mexico",126.70027624279278
"Congressional District 8 (118th Congress), Colorado",126.78051900824511
"Congressional District 6 (118th Congress), Tennessee",126.98688908702346
"Congressional District 1 (118th Congress), Missouri",127.37170015352703
"Congressional District 3 (118th Congress), Iowa",127.48772489930158
"Congressional District 5 (118th Congress), Georgia",127.55645808817364
"Congressional District 6 (118th Congress), Kentucky",127.56680602727342
"Congressional District 2 (118th Congress), Georgia",127.71295940506586
"Congressional District 4 (118th Congress), New Jersey",127.83504996674425
"Congressional District 7 (118th Congress), Illinois",127.90144643435428
"Congressional District 4 (118th Congress), Alabama",127.9430732787047
"Congressional District 11 (118th Congress), Texas",127.94909143874372
"Congressional District 6 (118th Congress), South Carolina",128.19609978466582
"Congressional District 2 (118th Congress), Colorado",128.41421260904107
"Congressional District 2 (118th Congress), Oregon",128.48630277192973
"Congressional District 11 (118th Congress), Pennsylvania",128.50256806772384
"Congressional District 13 (118th Congress), New York",128.59385677395323
"Congressional District 2 (118th Congress), Idaho",128.61726167198555
"Congressional District 21 (118th Congress), Texas",128.6479692805137
"Congressional District 2 (118th Congress), Wisconsin",128.6938615474724
"Congressional District 5 (118th Congress), Oregon",128.7645525756215
"Congressional District 2 (118th Congress), Illinois",128.77662831430243
"Congressional District 3 (118th Congress), Indiana",128.789712322064
"Congressional District 23 (118th Congress), California",128.95565129144205
"Congressional District 7 (118th Congress), Michigan",128.97600552040677
"Congressional District 1 (118th Congress), Pennsylvania",129.01317762151274
"Congressional District 14 (118th Congress), New York",129.02891148885973
"Congressional District 17 (118th Congress), Florida",129.21505330262414
"Congressional District 27 (118th Congress), California",129.46926276147553
"Congressional District 19 (118th Congress), New York",129.47787455777916
"Congressional District 19 (118th Congress), Texas",129.54562902699573
"Congressional District 3 (118th Congress), Nebraska",129.7956470764717
"Congressional District (at Large) (118th Congress), South Dakota",129.88895257103277
"Congressional District 41 (118th Congress), California",129.95787779122895
"Congressional District 5 (118th Congress), Indiana",130.04022454609958
"Congressional District 3 (118th Congress), Illinois",130.08035977810025
"Congressional District 4 (118th Congress), Indiana",130.09192903481753
"Congressional District 1 (118th Congress), Idaho",130.1211358696196
"Congressional District 1 (118th Congress), Minnesota",130.17046516011226
"Congressional District 17 (118th Congress), Pennsylvania",130.26446176912566
"Congressional District 16 (118th Congress), California",130.2759762964761
"Congressional District 9 (118th Congress), Florida",130.32375071336767
"Congressional District 6 (118th Congress), Indiana",130.33882767617638
"Congressional District 11 (118th Congress), California",130.4494538125783
"Congressional District 9 (118th Congress), Massachusetts",130.4737904714966
"Congressional District (at Large) (118th Congress), Wyoming",130.47674122233434
"Congressional District 4 (118th Congress), Oregon",130.54822863601024
"Congressional District 1 (118th Congress), Illinois",130.56664964683745
"Congressional District 2 (118th Congress), Tennessee",130.85533997510382
